Applicable Machine,Part Name,Part Number,SKU,Description
Universal,Control Unit 8909 - Universal,3100000372,MCU-8909-US,Control Unit 8909 - Universal
Universal,Control Unit A64 - Universal,3100000116,MCU-A64-US,Control Unit A64 - Universal
DC-620ZS,Control Unit A64 V5.2 - Max 620S,3100000110,MCU-A64-V5.2-US,Control Unit A64 V5.2 - Max 620S
Universal,Adyen POS Terminal,3101000205,POS-ADYEN-US,Adyen POS Terminal
All Single Door,Nayax POS Terminal Assembly - Single-Door Models,3100000318,POS-ADYEN-ASSY-US,Nayax POS Terminal Assembly - Single-Door Models
Universal,PAX POS Terminal (Card reader only) - Universal,3101000120,POS-PAX-US,PAX POS Terminal (Card reader only) - Universal
DC-1200Z,Cabinet Lock - Ultra 1200,3101000152,LOCK-1200Z-DD,Cabinet Lock - Ultra 1200
All Single Door,Cabinet Lock - Single-Door Models,3101000156,LOCK-SD,Cabinet Lock - Single-Door Models
Universal,UPS Battery Assembly - Universal,3101000144,UPS-ASSY,UPS Battery Assembly - Universal
Universal,UPS Battery Adapter Cable - Universal,3500000026,UPS-CONV-3-2PIN,UPS Battery Adapter Cable - Universal
Universal,DC Power Adapter 4A - Mini 360/Plus 440/Freezer 550/Max 620/Max 660/Ultra 1200,3101000096,PWR-ADPT-4A,DC Power Adapter 4A - Mini 360/Plus 440/Freezer 550/Max 620/Max 660/Ultra 1200
DC-620ZS,DC Power Adapter 7A - Max 620S,3101000095,PWR-ADPT-620ZS-7A,DC Power Adapter 7A - Max 620S
Universal,DC Power Splitter Cable - Universal,3500000100,PWR-CBL-SPLIT-1TO2,DC Power Splitter Cable - Universal
Universal,POS 8-Pin Network Cable - Universal,3101000026,POS-NET-CBL-8P,POS 8-Pin Network Cable - Universal
Universal,4G LTE Copper Antenna - Universal,3101000017,ANT-4GLTE-COPPER,4G LTE Copper Antenna - Universal
Universal,Thermostat - Universal,3101000169,THERM-ECS180PW,Thermostat - Universal
All Single Door,Nayax POS Display - Single-Door Models,3101000021,POS-DISP-NAYAX-5IN,Nayax POS Display - Single-Door Models
Universal,Cellular Module - Universal,3100000378,CELL-MOD-YF325,Cellular Module - Universal
DC-620ZS,Ad Screen Module - Max 620S,3101000010,AD-SCRN-620ZS-29IN,Ad Screen Module - Max 620S
DC-1200Z,POS Conversion Kit - Ultra 1200,INTERNAL,POS-CONV-KIT-1200SC-TBC,POS Conversion Kit - Ultra 1200
Universal,SIM Card VB - Universal,3100000335,SIM-B-US,SIM Card VB - Universal
Universal,SIM Card VO - Universal,INTERNAL,SIM-OPT-US,SIM Card VO - Universal
Universal,SIM Card VK - O - Universal,INTERNAL TEST,SIM-KORE-O-US,SIM Card VK - O - Universal
All Single Door,Camera - Left - Single-Door Models,3100000234,CAM-SD-MAIN-R,Camera - Left - Single-Door Models
All Single Door,Camera-  Right - Single-Door Models,3100000213,CAM-SD-AUX-L,Camera-  Right - Single-Door Models
DC-1200Z,Camera - Right Door - Left - Ultra 1200,3100000218,CAM-1200Z-RD-MAIN-L,Camera - Right Door - Left - Ultra 1200
DC-1200Z,Camera - Right Door - Right - Ultra 1200,3100000219,CAM-1200Z-RD-AUX-R,Camera - Right Door - Right - Ultra 1200
DC-1200Z,Camera - Left Door - Right - Ultra 1200,3100000249,CAM-1200Z-LD-MAIN-R,Camera - Left Door - Right - Ultra 1200
DC-1200Z,Camera - Left Door - Left - Ultra 1200,3100000241,CAM-1200Z-LD-AUX-L,Camera - Left Door - Left - Ultra 1200
DC-1200Z,Camera Kit - Right Door - Left - Ultra 1200,,CAM-1200Z-RD-MAIN-L-V2,Camera Kit - Right Door - Left - Ultra 1200
DC-1200Z,Camera Kit - Right Door - Right - Ultra 1200,,CAM-1200Z-RD-AUX-R-V2,Camera Kit - Right Door - Right - Ultra 1200
DC-1200Z,Camera Kit - Left Door - Right - Ultra 1200,,CAM-1200Z-LD-MAIN-R-V2,Camera Kit - Left Door - Right - Ultra 1200
DC-1200Z,Camera Kit - Left Door - Left - Ultra 1200,,CAM-1200Z-LD-AUX-L-V2,Camera Kit - Left Door - Left - Ultra 1200
All Single Door,Adyen Mounting Bracket Kit - Single-Door Models,INTERNAL,BRKT-ADYEN-SD-CBL-KIT,Adyen Mounting Bracket Kit - Single-Door Models
All Single Door,Adyen Retrofit Mounting Bracket Kit - Single-Door Models,INTERNAL,BRKT-ADYEN-SD-RFT-CBL-KIT,Adyen Retrofit Mounting Bracket Kit - Single-Door Models
All Single Door,Adyen Mounting Bracket - Single-Door Models,INTERNAL,BRKT-ADYEN-SD,Adyen Mounting Bracket - Single-Door Models
"DC-440D,DD-550D,DC-542D",Lock Bracket - Plus 440D/Freezer 550/Pro 542,3401000055,LOCK-BRKT-D-SERIES-SD,Lock Bracket - Plus 440D/Freezer 550/Pro 542
"DC-360Z,DC-440Z,DC-620Z,DC-620ZS,DC-660Z",Lock Bracket - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660,3401000245,LOCK-BRKT-Z-SERIES-SD,Lock Bracket - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660
DC-360Y,Filter Holder - Mini 360,INTERNAL,FILTER-HLDR-360Y-TBC,Filter Holder - Mini 360
"DC-360Z,DC-440Z,DC-620Z,DC-620ZS,DC-660Z",Door Hinge - Upper - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660,3401000141,HINGE-Z-SERIES-UPPER,Door Hinge - Upper - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660
DD-550D,Door Hinge - Upper - Freezer 550,3401000123,HINGE-550D-UPPER,Door Hinge - Upper - Freezer 550
DC-542D,Door Hinge - Upper - Pro 542,3401000111,HINGE-542D-UPPER,Door Hinge - Upper - Pro 542
DC-1200Z,Door Hinge - Upper Left - Ultra 1200,3401000127,HINGE-1200Z-UL,Door Hinge - Upper Left - Ultra 1200
DC-1200Z,Door Hinge - Upper Right - Ultra 1200,3401000128,HINGE-1200Z-UR,Door Hinge - Upper Right - Ultra 1200
"DC-360Z,DC-440Z,DC-620Z,DC-620ZS,DC-660Z",Accessory Kit - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660,3100000313,ACC-KIT-Z-SERIES-SD,Accessory Kit - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660
"DC-440D,DC-542D,DD-550D",Accessory Kit - Plus 440D/Pro 542/Freezer 550,3100000312,ACC-KIT-D-SERIES-SD,Accessory Kit - Plus 440D/Pro 542/Freezer 550
DC-1200Z,Accessory Kit - Ultra 1200,3100000311,ACC-KIT-1200Z-DD,Accessory Kit - Ultra 1200
"DC-360Z,DC-440Z,DC-620Z,DC-620ZS,DC-660Z",Anti-Theft Metal Guard Panel - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660,3401000120,ANTI-THEFT-GUARD-Z-SD,Anti-Theft Metal Guard Panel - Mini 360/Plus 440Z/Max 620/Max 620S/Max 660
"DC-440D,DC-542D,DD-550D",Anti-Theft Metal Guard Panel - Plus 440D/Pro 542/Freezer 550,3401000134,ANTI-THEFT-GUARD-D-SD,Anti-Theft Metal Guard Panel - Plus 440D/Pro 542/Freezer 550
All Single Door,Door Handle - Single-Door Models,3401000110,HANDLE-SD,Door Handle - Single-Door Models
"DC-360Y,DC-360Z",Divider - Mini 360,3401000005,DIVIDER-360,Divider - Mini 360
DC-440D,Divider - Plus 440D,3401000011,DIVIDER-440D,Divider - Plus 440D
DC-440Z,Divider - Plus 440Z,3402000108,DIVIDER-440Z,Divider - Plus 440Z
DC-542D,Divider - Pro 542,3401000075,DIVIDER-542D,Divider - Pro 542
Universal,Price Tag - Universal,3601000050,PRICE-TAG,Price Tag - Universal
"DC-360Z,DC-360Y",Drink Pusher V1.1 - Mini 360,3100000433,PUSHER-DRINK-360Z-V1.1,Drink Pusher V1.1 - Mini 360
DC-440Z,Drink Pusher V1.1 - Plus 440,3100000435,PUSHER-DRINK-440Z-V1.1,Drink Pusher V1.1 - Plus 440
DC-542D,Drink Pusher V1.1 - Pro 542,3100000436,PUSHER-DRINK-542D-V1.1,Drink Pusher V1.1 - Pro 542
DD-550D,Drink Pusher V1.1 - Freezer 550,3100000438,PUSHER-DRINK-550D-V1.1,Drink Pusher V1.1 - Freezer 550
DC-1200Z,Drink Pusher V1.1 - Ultra 1200,3100000432,PUSHER-DRINK-1200Z-V1.1,Drink Pusher V1.1 - Ultra 1200
"DC-360Z,DC-360Y",Snack Pusher - Mini 360,3100000159,PUSHER-SNACK-360Z,Snack Pusher - Mini 360
DC-440Z,Snack Pusher - Plus 440,3100000280,PUSHER-SNACK-440Z,Snack Pusher - Plus 440
DC-542D,Snack Pusher - Pro 542,3100000157,PUSHER-SNACK-542D,Snack Pusher - Pro 542
"DC-620ZS,DC-620Z",Snack Pusher - Max 620/Max 620S,3100000298,PUSHER-SNACK-620Z-ZS,Snack Pusher - Max 620/Max 620S
DC-1200Z,Snack Pusher - Ultra 1200,3100000300,PUSHER-SNACK-1200Z,Snack Pusher - Ultra 1200
"DC-360Z,DC-360Y",Drink Pusher - Mini 360,3100000155,PUSHER-DRINK-360Z,Drink Pusher - Mini 360
DC-440Z,Drink Pusher - Plus 440,3100000290,PUSHER-DRINK-440Z,Drink Pusher - Plus 440
DC-542D,Drink Pusher - Pro 542,3100000158,PUSHER-DRINK-542D,Drink Pusher - Pro 542
DD-550D,Drink Pusher - Freezer 550,3100000285,PUSHER-DRINK-550D,Drink Pusher - Freezer 550
"DC-620Z,DC-620ZS",Drink Pusher - Max 620/Max 620S,3100000277,PUSHER-DRINK-620Z-ZS,Drink Pusher - Max 620/Max 620S
DC-1200Z,Drink Pusher - Ultra 1200,3100000276,PUSHER-DRINK-1200Z,Drink Pusher - Ultra 1200
